z,ds,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0.005507,0.030172,0.015141,0.072134,0.246879,0.170401,0.245821,0.172323
0.003854,0.031215,0.014759,0.072246,0.246971,0.170382,0.245821,0.172323
0.001751,0.031798,0.014682,0.072289,0.247014,0.170385,0.245821,0.172323
-0.000704,0.032265,0.014875,0.072236,0.247003,0.170429,0.245821,0.172323
-0.003309,0.032558,0.015062,0.072172,0.246981,0.170473,0.245821,0.172323
-0.005797,0.033006,0.014792,0.072234,0.247027,0.170456,0.245811,0.172323
-0.007955,0.033461,0.014625,0.072286,0.247070,0.170446,0.245811,0.172333
-0.009736,0.033437,0.014736,0.072255,0.247055,0.170462,0.245811,0.172333
-0.011100,0.033614,0.014844,0.072222,0.247043,0.170485,0.245811,0.172333
-0.012375,0.033895,0.014752,0.072257,0.247070,0.170479,0.245811,0.172323
-0.013683,0.033881,0.014624,0.072300,0.247091,0.170457,0.245811,0.172323
-0.015108,0.034042,0.014821,0.072276,0.247085,0.170478,0.245811,0.172303
-0.016816,0.034334,0.015147,0.072186,0.247049,0.170537,0.245811,0.172293
-0.018741,0.034362,0.015120,0.072193,0.247054,0.170536,0.245811,0.172282
-0.020659,0.034513,0.015073,0.072214,0.247069,0.170530,0.245811,0.172282
-0.022518,0.034813,0.015303,0.072151,0.247048,0.170574,0.245811,0.172282
-0.024077,0.034927,0.015408,0.072116,0.247034,0.170597,0.245811,0.172282
-0.025386,0.034943,0.015314,0.072132,0.247044,0.170590,0.245811,0.172282
-0.026445,0.034928,0.015332,0.072140,0.247047,0.170585,0.245811,0.172282
-0.027352,0.034924,0.015421,0.072108,0.247030,0.170601,0.245811,0.172282
-0.028247,0.035034,0.015379,0.072121,0.247040,0.170599,0.245811,0.172282
-0.029254,0.034928,0.015250,0.072163,0.247059,0.170575,0.245811,0.172282
-0.030405,0.034732,0.015239,0.072160,0.247051,0.170568,0.245811,0.172282
-0.031725,0.034875,0.015313,0.072139,0.247043,0.170582,0.245811,0.172282
-0.033052,0.035055,0.015226,0.072168,0.247063,0.170574,0.245811,0.172282
-0.034264,0.035163,0.015120,0.072185,0.247077,0.170568,0.245811,0.172293
-0.035148,0.035233,0.015177,0.072179,0.247078,0.170576,0.245811,0.172293
-0.035806,0.035123,0.015253,0.072149,0.247059,0.170587,0.245811,0.172293
-0.036311,0.034929,0.015281,0.072137,0.247046,0.170586,0.245811,0.172293
-0.036740,0.034917,0.015228,0.072150,0.247052,0.170579,0.245811,0.172293
-0.037223,0.034840,0.015216,0.072163,0.247056,0.170569,0.245811,0.172293
-0.037778,0.034742,0.015272,0.072143,0.247041,0.170575,0.245811,0.172293
-0.038450,0.034689,0.015266,0.072143,0.247041,0.170573,0.245811,0.172293
-0.039095,0.034642,0.015292,0.072139,0.247037,0.170574,0.245811,0.172293
-0.039665,0.034513,0.015297,0.072133,0.247030,0.170572,0.245811,0.172293
-0.040103,0.034219,0.015420,0.072091,0.247000,0.170583,0.245811,0.172293
-0.040495,0.033713,0.015395,0.072100,0.246987,0.170560,0.245811,0.172293
-0.040894,0.033366,0.015296,0.072128,0.246989,0.170532,0.245811,0.172293
-0.041163,0.033350,0.015257,0.072139,0.246993,0.170525,0.245811,0.172293
-0.041283,0.033434,0.015167,0.072173,0.247014,0.170511,0.245811,0.172293
-0.041299,0.033373,0.015199,0.072156,0.247002,0.170517,0.245811,0.172293
-0.041054,0.033242,0.015258,0.072140,0.246990,0.170521,0.245811,0.172293
-0.040760,0.033116,0.015282,0.072130,0.246982,0.170522,0.245811,0.172293
-0.040458,0.032762,0.015208,0.072149,0.246979,0.170500,0.245811,0.172293
-0.040185,0.032329,0.015125,0.072178,0.246980,0.170469,0.245811,0.172293
-0.040131,0.031928,0.015122,0.072181,0.246969,0.170453,0.245811,0.172293
-0.040185,0.031431,0.015152,0.072162,0.246942,0.170444,0.245811,0.172293
-0.040310,0.030996,0.015192,0.072153,0.246924,0.170433,0.245811,0.172293
-0.040484,0.030595,0.015204,0.072144,0.246905,0.170422,0.245811,0.172293
-0.040598,0.030210,0.015329,0.072112,0.246876,0.170425,0.245811,0.172293
-0.040653,0.029916,0.015400,0.072085,0.246853,0.170427,0.245811,0.172293
-0.040729,0.029454,0.015341,0.072092,0.246842,0.170408,0.245811,0.172293
-0.040568,0.028523,0.015224,0.072127,0.246831,0.170357,0.245811,0.172293
-0.040430,0.027812,0.015294,0.072116,0.246801,0.170335,0.245811,0.172293
-0.040263,0.027160,0.015329,0.072092,0.246769,0.170325,0.245811,0.172293
-0.039938,0.026274,0.015089,0.072155,0.246773,0.170262,0.245811,0.172293
-0.039684,0.025545,0.015167,0.072147,0.246745,0.170239,0.245811,0.172293
-0.039444,0.024759,0.015388,0.072065,0.246680,0.170254,0.245811,0.172293
-0.039222,0.023706,0.015308,0.072084,0.246656,0.170207,0.245811,0.172293
-0.039090,0.022839,0.015282,0.072090,0.246632,0.170173,0.245811,0.172293
-0.038994,0.021791,0.015293,0.072086,0.246599,0.170139,0.245811,0.172293
-0.038849,0.020618,0.015371,0.072058,0.246549,0.170113,0.245811,0.172293
-0.038708,0.019570,0.015365,0.072052,0.246514,0.170079,0.245811,0.172293
-0.038499,0.018544,0.015341,0.072060,0.246487,0.170037,0.245811,0.172282
-0.038156,0.017595,0.015439,0.072032,0.246444,0.170018,0.245811,0.172282
-0.037632,0.016881,0.015599,0.071987,0.246400,0.170016,0.245811,0.172272
-0.036958,0.016036,0.015595,0.071996,0.246381,0.169979,0.245811,0.172252
-0.036034,0.015253,0.015582,0.072008,0.246364,0.169944,0.245811,0.172242
-0.034994,0.014524,0.015657,0.071992,0.246335,0.169927,0.245811,0.172231
-0.033830,0.013880,0.015732,0.071973,0.246307,0.169913,0.245811,0.172221
-0.032621,0.013185,0.015701,0.071988,0.246294,0.169880,0.245811,0.172211
